Copany,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,
ytedance,$180,4/7/2017,Artificial intelligence,eijing,China,Asia,2012,$8,"Sequoia Capital China, SIG Asia Investents, Sina Weio, Softank Group",
SpaceX,$100,12/1/2012,Other,Hawthorne,United States,North Aerica,2002,$7,"Founders Fund, Draper Fisher Jurvetson, Rothenerg Ventures",
SHEIN,$100,7/3/2018,E-coerce & direct-to-consuer,Shenzhen,China,Asia,2008,$2,"Tiger Gloal anageent, Sequoia Capital China, Shunwei Capital Partners",
Stripe,$95,1/23/2014,Fintech,San Francisco,United States,North Aerica,2010,$2,"Khosla Ventures, LowercaseCapital, capitalG",
Klarna,$46,12/12/2011,Fintech,Stockhol,Sweden,Europe,2005,$4,"Institutional Venture Partners, Sequoia Capital, General Atlantic",
Canva,$40,1/8/2018,Internet software & services,Surry Hills,Australia,Oceania,2012,$572,"Sequoia Capital China, lackird Ventures, atrix Partners",
Checkout.co,$40,5/2/2019,Fintech,London,United Kingdo,Europe,2012,$2,"Tiger Gloal anageent, Insight Partners, DST Gloal",
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Fintech,,,,,,,,,,
,,,,,,,,,,
company,vlookup,,,,,,,,,
ytedance,Artificial intelligence,,,,,,,,,
SpaceX,Other,,,,,,,,,
SHEIN,E-coerce & direct-to-consuer,,,,,,,,,
Stripe,Fintech,,,,,,,,,
Klarna,Fintech,,,,,,,,,
,,,,,,,,,,
Company,vlookup,,,,,,,,,
ytedance,$180,,,,,,,,,
SpaceX,$100,,,,,,,,,
SHEIN,$100,,,,,,,,,
Stripe,$95,,,,,,,,,
Klarna,$46,,,,,,,,,
Canva,$40,,,,,,,,,
Checkout.co,$40,,,,,,,,,
